setting,num_episodes,train_time,validity,proximity_cont,proximity_cat,sparsity,manifold,causality,time,air
01_0.99_256_0.0001_0.2,19530,0,82.101,0.337,0.072,1.848,1.056,100.0,21.19,0.15
01_0.99_256_0.0001_0.2,19530,0,81.712,0.341,0.072,1.848,1.056,100.0,16.43,0.22
01_0.99_256_0.0001_0.2,19530,0,100.0,0.534,0.077,2.0,1.37,100.0,0.38,0.23
01_0.99_256_0.0001_0.2,19530,0,100.0,0.534,0.077,2.0,1.36,100.0,0.37,0.24
01_0.99_256_0.0001_0.2,19530,0,100.0,0.534,0.077,2.0,1.34,100.0,0.35,0.25
01_0.99_256_0.0001_0.2,19530,0,82.101,0.337,0.072,1.848,1.056,100.0,17.73,0.22
01_0.99_256_0.0001_0.2,19530,0,93.385,0.304,0.058,1.646,0.842,100.0,9.26,0.54
01_0.99_256_0.0001_0.2,19530,0,90.0,0.389,0.056,1.611,1.003,100.0,0.87,0.55
01_0.99_256_0.0001_0.2,19530,0,90.0,0.389,0.056,1.611,1.003,100.0,0.89,0.55
01_0.99_256_0.0001_0.2,19530,0,90.0,0.389,0.056,1.611,1.003,100.0,0.87,0.55
01_0.99_256_0.0001_0.2,19530,0,75.0,0.48,0.072,1.8,1.19,100.0,1.72,0.22
01_0.99_256_0.0001_0.2,19530,0,75.0,0.483,0.072,1.8,1.193,100.0,1.62,0.22
01_0.99_256_0.0001_0.2,19530,0,90.0,0.389,0.056,1.611,1.003,100.0,0.84,0.56
01_0.99_256_0.0001_0.2,19530,0,90.0,0.389,0.056,1.611,1.003,100.0,0.92,0.55
01_0.99_256_0.0001_0.2,19530,0,81.323,0.34,0.071,1.842,1.051,100.0,18.33,0.22
01_0.99_256_0.0001_0.2,19530,0,75.0,0.48,0.072,1.8,1.2,100.0,1.8,0.22
01_0.99_256_0.0001_0.2,19530,0,75.0,0.483,0.072,1.8,1.203,100.0,1.64,0.2
01_0.99_256_0.0001_0.2,19530,0,75.0,0.688,1.0,20.0,2.229,26.667,3.8,0.21
01_0.99_256_0.0001_0.2,19530,0,71.0,0.506,0.986,19.732,1.662,32.394,15.38,0.2
01_0.99_256_0.0001_0.2,19530,0,71.595,0.448,0.984,19.69,1.68,32.609,38.98,0.2
01_0.99_256_0.0001_0.2,19530,0,79.767,0.439,0.985,19.722,1.651,28.293,35.89,0.26
01_0.99_256_0.0001_0.2,19530,0,100.0,0.706,1.0,20.0,2.113,30.0,1.65,0.21
01_0.99_256_0.0001_0.2,19530,0,73.541,0.442,0.984,19.698,1.661,23.28,40.14,0.23
01_0.99_256_0.0001_0.2,19530,0,75.875,0.434,0.985,19.708,1.649,29.231,38.75,0.22
01_0.99_256_0.0001_0.2,19530,0,100.0,0.687,1.0,0.0,2.036,20.0,1.55,0.22
01_0.99_256_0.0001_0.2,19530,0,90.0,0.666,1.0,1.556,1.976,22.222,1.33,0.21
01_0.99_256_0.0001_0.2,19530,0,100.0,0.678,1.0,1.7,2.026,10.0,1.51,0.24
01_0.99_256_0.0001_0.2,19530,0,84.436,0.334,0.073,1.871,1.052,100.0,15.37,0.25
01_0.99_256_0.0001_0.2,19530,0,75.875,0.372,0.075,1.908,1.15,100.0,19.19,0.12
