# {"t_start": 1702366737.8647463, "env_id": "german-nr-v01"} 
r,l,t
16.04636,44,456.075885
-17.31428,58,456.274278
42.157031,52,456.440736
44.570078,45,456.72483
48.542563,61,456.937885
14.546036,48,457.108286
22.200265,53,457.273748
84.0897,39,457.398849
54.975984,41,457.686337
55.260194,38,457.829398
55.309608,40,457.962644
-3.837295,46,458.135179
64.163468,44,458.275039
43.612714,47,458.421166
2.675365,55,458.762267
-29.420078,60,458.959326
45.275019,41,459.091329
36.177305,37,459.211214
55.468218,40,459.338516
50.993628,55,459.547483
-7.163756,54,459.868775
66.215697,37,460.005742
25.154837,43,460.14533
33.011658,63,460.347576
44.600248,48,460.508255
-110.392179,73,460.870588
47.0194,37,460.994726
42.286811,49,461.152894
31.343593,51,461.32244
-55.279336,53,461.510595
76.048285,35,461.772333
55.099215,43,461.918734
26.338888,38,462.044611
44.790653,45,462.193103
-80.96773,72,462.423281
63.630741,46,462.712412
-37.029554,57,462.890964
54.018568,45,463.037581
-17.948163,59,463.246114
-13.851135,45,463.403694
4.082585,49,463.717969
45.144203,40,463.848701
44.540281,44,463.991321
55.553405,39,464.140833
-25.407376,49,464.299093
-40.288436,69,464.647575
63.986834,42,464.783404
32.193324,55,464.964222
62.89401,46,465.132744
33.811287,49,465.290882
24.410625,45,465.450015
52.104666,47,465.755769
43.275822,50,465.920362
-27.799735,58,466.107783
20.846955,57,466.290934
34.019654,52,466.486484
34.745454,44,466.76754
26.445111,67,466.999284
55.554302,39,467.133319
45.32421,41,467.275413
35.912915,39,467.402249
54.233575,46,467.705102
22.169328,50,467.872938
40.278569,56,468.049593
57.232988,36,468.16743
32.79692,50,468.331547
40.582425,57,468.658382
63.249276,45,468.806619
64.182926,43,468.98658
36.552542,37,469.107486
73.193936,43,469.24452
-25.75807,54,469.411229
53.1922,48,469.706462
-6.149509,61,469.895718
33.81871,51,470.058032
-55.971962,60,470.246744
95.415821,38,470.391599
52.550448,51,470.716067
34.536857,44,470.868259
2.149039,58,471.050273
74.961045,39,471.176322
27.735917,37,471.298305
73.253018,46,471.47708
-4.663675,48,471.775327
-40.297015,63,471.973001
32.079101,53,472.147653
36.890833,36,472.28556
-66.448708,59,472.472584
44.61633,60,472.815353
-17.271116,57,472.993595
13.171614,54,473.17722
74.617756,40,473.31656
44.727696,44,473.459511
64.580104,40,473.729601
23.696164,51,473.911521
56.881791,34,474.055891
74.506885,40,474.193443
34.056902,47,474.350257
-67.16541,66,474.702988
72.612859,47,474.865577
54.016538,44,475.024872
15.295633,42,475.237288
62.323593,48,475.393975
63.063759,53,475.574233
22.200265,53,475.892268
56.748267,35,476.016601
64.329143,40,476.159706
60.906728,54,476.336097
32.423593,51,476.537515
95.155259,35,476.788962
66.356849,35,476.912337
15.712512,44,477.069159
15.35041,45,477.211579
44.816609,41,477.342732
63.714978,46,477.49071
-27.290356,55,477.853744
13.314357,54,478.035896
3.354079,53,478.201688
74.202321,41,478.334002
73.540248,45,478.479164
-49.627483,83,478.877615
45.41198,42,479.046356
68.872964,57,479.223592
41.870767,53,479.39948
6.784979,40,479.549679
66.854445,33,479.81755
-101.939682,74,480.085528
63.627361,43,480.229217
-64.347426,52,480.391513
35.101315,42,480.531615
64.431829,43,480.814851
65.90695,36,480.9325
-27.131409,66,481.141523
-45.997759,59,481.384033
53.237766,45,481.545413
16.135276,42,481.692406
-28.513463,65,482.032024
12.242966,57,482.209975
-8.496889,57,482.437184
32.634459,51,482.603853
73.423593,47,482.887599
44.216783,43,483.031833
13.574487,49,483.210042
77.144024,44,483.362581
55.078664,41,483.493933
-15.450396,49,483.661667
54.946867,39,483.953588
75.444111,38,484.076474
1.537002,56,484.257174
43.721542,45,484.399766
32.03028,55,484.663704
52.143593,49,485.01592
65.086867,39,485.16187
43.266941,48,485.314767
-16.290867,55,485.513169
4.116229,49,485.664473
43.088719,49,485.818746
16.056406,46,486.115738
33.791619,48,486.286869
3.996958,48,486.435229
3.656325,50,486.589658
-42.238764,72,486.980366
14.204308,48,487.131453
-26.408378,60,487.320515
14.613875,46,487.480516
65.874282,35,487.59497
74.819939,42,487.733976
43.312762,51,488.031977
85.447771,35,488.144739
-7.270842,55,488.317957
41.094292,51,488.501271
-18.28308,55,488.696532
34.07023,46,489.014642
0.707122,60,489.200042
76.642761,35,489.313935
-17.457384,57,489.488759
24.629296,46,489.643232
54.454087,44,489.782798
74.72891,40,490.075497
44.794454,46,490.242474
61.758576,47,490.433408
75.856638,37,490.565273
75.677059,37,490.686861
62.235744,50,490.978416
64.778148,41,491.110652
44.604836,42,491.243392
25.993669,44,491.387078
-0.304984,66,491.593705
-16.208501,52,491.779494
61.543593,48,492.084525
65.397249,38,492.235418
43.763892,45,492.383906
12.633521,52,492.549325
32.205267,56,492.723719
23.28114,51,493.020361
-122.560591,79,493.269382
45.260194,39,493.403029
60.876905,53,493.575606
-39.45893,62,493.92283
52.375178,51,494.087006
14.601484,46,494.241075
51.338304,57,494.420282
42.063024,51,494.579345
34.590212,43,494.747211
64.290212,40,495.034274
14.844983,47,495.188337
23.195717,50,495.343504
12.519167,54,495.510733
24.640286,48,495.686921
55.001319,41,495.957419
43.964618,46,496.123399
36.237914,39,496.290441
43.940487,51,496.449255
-76.268158,57,496.6272
22.850383,60,496.955465
35.584528,42,497.087693
-31.119053,67,497.292478
84.255294,44,497.465487
54.227409,45,497.629059
-0.726367,66,497.974631
33.375337,49,498.128225
42.285893,50,498.284498
93.643741,42,498.420144
4.962053,49,498.587303
22.690684,51,498.905928
-7.526618,58,499.100901
65.998725,36,499.237785
-51.768639,67,499.455654
53.561846,47,499.610819
21.604945,53,499.921829
62.537235,48,500.085689
73.277037,48,500.240537
52.420023,51,500.431608
-59.119016,66,500.654779
43.666446,50,500.944749
35.3198,44,501.114851
73.054478,45,501.257151
75.684332,37,501.379272
74.323295,43,501.541431
43.196963,50,501.733154
76.429517,35,501.995854
83.947439,41,502.142432
63.808246,45,502.294679
63.025983,47,502.452273
73.971585,40,502.579539
35.693687,41,502.710187
64.102765,43,503.0079
-18.667822,60,503.222243
23.712279,48,503.379877
53.341402,46,503.524941
12.850404,50,503.680851
85.784956,36,503.932514
46.985622,35,504.060608
-5.344919,47,504.211285
53.865421,45,504.360661
24.539849,45,504.518186
13.540248,51,504.703051
84.718231,39,504.973087
84.680492,40,505.115302
54.345633,43,505.260002
46.840159,34,505.383212
42.063871,55,505.556433
12.72007,50,505.734993
75.878599,43,506.014497
74.086012,40,506.149109
54.290212,41,506.281856
-97.12986,63,506.504066
54.103211,46,506.652902
95.840279,34,506.764294
65.510068,38,507.034698
54.394182,44,507.21508
42.936008,47,507.368179
53.056902,45,507.510284
74.890966,40,507.679346
61.359015,53,507.848219
-37.907565,57,508.167011
75.149167,38,508.315432
42.164426,48,508.493942
-58.564409,66,508.697668
