# {"t_start": 1702357745.1131442, "env_id": "german-v01"} 
r,l,t
-6.068046,73,810.080333
-2.653112,62,810.415616
27.357962,61,810.747239
28.048368,58,811.057889
37.955435,59,811.38489
56.86505,61,811.899546
17.379826,65,812.254646
16.625889,62,812.597942
67.038698,56,812.917992
17.142155,65,813.426326
24.988954,69,813.819486
54.967909,65,814.188289
43.941988,66,814.56455
17.080835,61,815.032711
57.65484,57,815.36785
33.276712,71,815.779237
35.100206,65,816.138058
37.564946,58,816.589889
8.112458,62,816.927157
56.874982,58,817.263417
56.225998,59,817.607433
54.993803,65,818.102535
67.449081,55,818.411607
37.730283,58,818.734041
47.742995,57,819.061513
26.461567,62,819.550683
65.896113,62,819.899974
17.108698,61,820.230288
54.137306,65,820.604948
45.024925,64,820.962118
46.687402,61,821.457694
-26.87189,79,821.871136
37.860225,57,822.195135
55.635752,67,822.699743
-11.810735,62,823.027457
28.367507,57,823.344133
36.157553,65,823.696011
7.023843,64,824.044048
25.898697,65,824.548811
46.130151,63,824.893305
57.240669,58,825.243219
45.390224,68,825.616718
45.909305,65,826.152504
42.97093,70,826.550741
75.746625,65,826.924246
49.989287,49,827.192787
66.20082,60,827.69052
36.364547,67,828.05775
77.011431,62,828.411209
65.074533,61,828.787426
26.647422,61,829.259289
55.322092,60,829.59894
15.878643,71,829.981335
84.34966,65,830.351565
38.44478,55,830.798643
46.595619,62,831.155288
74.729981,61,831.499868
65.763542,62,831.854846
57.171999,61,832.332676
-23.294649,68,832.698114
46.826845,60,833.051224
48.158865,61,833.406418
65.127073,65,833.914975
16.91266,60,834.258913
65.506954,59,834.605268
36.395417,64,834.965662
67.99032,54,835.407812
55.704147,62,835.759166
46.149154,62,836.120064
35.317508,67,836.487191
38.3497,56,836.954622
-26.27976,76,837.366463
54.841587,65,837.736903
45.658161,60,838.078519
65.960486,60,838.56657
67.461659,55,838.879634
26.11082,66,839.250142
57.868531,55,839.570688
47.087829,58,839.891579
53.61552,70,840.427374
7.485662,61,840.758976
46.260583,66,841.123213
46.478198,62,841.485613
64.782219,63,842.013319
35.990971,67,842.420033
28.896197,57,842.73014
77.129371,58,843.069551
46.442386,66,843.574104
45.972451,64,843.956799
44.80785,63,844.308306
57.856069,55,844.622084
